,p-hash,duplicates,similar_p-hashes,n_categories
48,85ade3b6e9138469,"[{'filename': '7b0b421b6d9b6c77448df1528271e9b9.jpg', 'category': 17}, {'filename': '8fc09051a7d2c69336a65225eca2cffd.jpg', 'category': 17}]",[],1
49,85ff460515bb45a6,"[{'filename': 'f7e1e160cd62d4d17d20953ad59e51bf.jpg', 'category': 32}, {'filename': '937e82136a438e975da02bcb16c538c3.jpg', 'category': 32}]",[],1
50,860e9961f5f0709f,"[{'filename': '7d43237dfe8366f2950b6875951318f3.jpg', 'category': 38}, {'filename': '278a84d496f3b1c2e4c271d25c0a9299.jpg', 'category': 38}]",[],1
51,86636830b3dcee47,"[{'filename': '703fd66c8e81d678a96b8fbff39927fb.jpg', 'category': 17}, {'filename': 'f20334bc5595dd52373ce60878fefa85.jpg', 'category': 17}, {'filename': 'e34056190cfbb8d944d3403869fc050d.jpg', 'category': 17}, {'filename': 'bbe650e91fcefd38b5c213c3a1f15d5f.jpg', 'category': 17}]",['87236830b3dcee47'],1
52,8663f88cc72d9c33,"[{'filename': 'f0ade8da6d41f914dd7780c8df9dac2f.jpg', 'category': 23}, {'filename': '39789fba293f3f55316e3f798716d327.jpg', 'category': 23}]",[],1
54,8744f83b97d05647,"[{'filename': '8e5c8d61ecf51cf66f4037c5115d277f.jpg', 'category': 38}, {'filename': 'da78179a0edec985b48c1c53705a2588.jpg', 'category': 38}]",[],1
55,874564b3f1b0da1e,"[{'filename': '51f4e32fc33f1c80622bff563f0264d4.jpg', 'category': 17}, {'filename': '187adfa212a859abc3c4e270f61d4471.jpg', 'category': 17}]",[],1
56,877cfa8291770e58,"[{'filename': '4594183f4c2acfbf8c02772de46e1176.jpg', 'category': 21}, {'filename': '0a287da56dcfbdd0a4c7686079932ab6.jpg', 'category': 21}]",[],1
57,8793842cea2ed7c5,"[{'filename': '8e3672a7026f753f7e4f7c7e555dc300.jpg', 'category': 20}, {'filename': '44ff3d85e2d616db1950b7e0bee93c39.jpg', 'category': 20}]",[],1
58,8810f1e9c61ebfcc,"[{'filename': '52765403120d4672c55642021d42a5a1.jpg', 'category': 38}, {'filename': '15d1779dbca16fd1f50b971985bd40db.jpg', 'category': 38}]",[],1
59,881aff8dc6c3c43c,"[{'filename': '3fee58d3c21aed8ce1a73f7386f565ad.jpg', 'category': 11}, {'filename': 'd2f1849f6531e824c7191d8b03e1ce3b.jpg', 'category': 11}]",[],1
60,882872de30c62ffd,"[{'filename': 'caa9d0d3d2e389329168bb62296490eb.jpg', 'category': 4}, {'filename': '07e389034082ba6fc77cefcb9db4a27b.jpg', 'category': 4}]",[],1
61,88b1377836b73a2a,"[{'filename': '457a9346026a54598edab938b62ce6fb.jpg', 'category': 29}, {'filename': '278292b886bbd53dc15136ccb48a9423.jpg', 'category': 29}, {'filename': '292d6bb8bcabf0ef8cf53d536a92c3fd.jpg', 'category': 29}]",[],1
62,8908f0fc7a5e8b6c,"[{'filename': '876fcd15ef0ec47da20dd41edfa3ee25.jpg', 'category': 1}, {'filename': '5da9decedccc8b8f4fda31e5bd439b6c.jpg', 'category': 1}]",[],1
63,89161f099639e4fe,"[{'filename': '49f93ea4bcc4eb05c084c95d861379a8.jpg', 'category': 34}, {'filename': '30b305871f156f11cc16adb5b430759c.jpg', 'category': 34}]",[],1
64,8927787a273896e5,"[{'filename': '633827c912edd43582bfd300f75711ab.jpg', 'category': 10}, {'filename': 'eae4bf53b6d3c3a51177173a1523096b.jpg', 'category': 10}, {'filename': '754860a08936618676d3437db1495740.jpg', 'category': 10}]",[],1
65,894c873b5cb83ed4,"[{'filename': '72b78edb78c93f9a7ef13b054149395b.jpg', 'category': 40}, {'filename': 'b84a45a81243539539337d0c1c32aacc.jpg', 'category': 40}]",[],1
66,8983d478e0669df3,"[{'filename': '8a8307da048abab793f27f92b423e9de.jpg', 'category': 17}, {'filename': 'd9504da63ac331031aeb6be2c71029d1.jpg', 'category': 17}]",[],1
67,89b0f74fe740985a,"[{'filename': 'e4ccf8d59bb3260850357f084cca9f5b.jpg', 'category': 11}, {'filename': 'cba3e4719d87b6c7029be9a8bf1f2051.jpg', 'category': 11}]",[],1
68,89c5b609f23e943b,"[{'filename': 'fc576e6b6a34ba7918573d6672cffa8d.jpg', 'category': 36}, {'filename': 'ebbd2b0167ff24fda09607586b20a427.jpg', 'category': 36}]",[],1
69,89ccdc239543cec7,"[{'filename': 'ad5eb67f47f8b4866e52b48ba03bd027.jpg', 'category': 28}, {'filename': '60e131692ddffda8c9d3d5e3527c8325.jpg', 'category': 28}]",[],1
70,8a1ec5453a896dbe,"[{'filename': '0e8a6728f4abf50f4db63c7b390eb0f5.jpg', 'category': 7}, {'filename': '6387aa71c4e3dcaff679b52d73ed31c3.jpg', 'category': 7}]",[],1
71,8a2af5c52a7ad585,"[{'filename': '75224d2710ea2330f81496045eabf14b.jpg', 'category': 18}, {'filename': '84cc5f54ed3519ac267d423a9c62cbcc.jpg', 'category': 18}]",[],1
72,8a2eb42dd7a254b3,"[{'filename': '1cb095df532fc608e06cfcbb2fd4d419.jpg', 'category': 4}, {'filename': '734181705dab0c3aa93c925361d40527.jpg', 'category': 4}]",[],1
73,8a56c5a9a9b87656,"[{'filename': '9f1ab08c76410d3138056e542555869b.jpg', 'category': 28}, {'filename': '92edb9fe621c4711198b66d9a8d3a660.jpg', 'category': 28}, {'filename': 'c1eebd89cee9950fa46ff72e017a5fd2.jpg', 'category': 28}]",[],1
74,8a69f4d6e028b697,"[{'filename': '992dfe9cb646274e94b3221b52aba784.jpg', 'category': 29}, {'filename': '7d177e7a99938f99bec6bb8a6b3d3a05.jpg', 'category': 29}]",[],1
75,8a72f58dc4cb4b23,"[{'filename': '15d2e68699391801726032d3468afabf.jpg', 'category': 29}, {'filename': '745ba6fd418a02d65beb11dbfa25a577.jpg', 'category': 29}]",[],1
76,8a80852f8e5edebc,"[{'filename': '62cc11e0817af7fb9c3d6ef33d043b3f.jpg', 'category': 41}, {'filename': '3f4e56e26ca4f82f6c63a6fcbaf36fbe.jpg', 'category': 41}]",[],1
77,8a9595aac66b39c6,"[{'filename': '5b81367d33152c33e83c04d6726705dc.jpg', 'category': 12}, {'filename': '2c75bc1a428c34c3a731c7efb2d95308.jpg', 'category': 12}]",[],1
78,8a95b5c23d6837b1,"[{'filename': '5de889b5f9be564274de87a77e933f53.jpg', 'category': 14}, {'filename': '2f19e6c3ed7ff87fd95c844c187a086c.jpg', 'category': 14}, {'filename': '9f39a4b7c09cd1c51712c805dbdb5ae7.jpg', 'category': 14}, {'filename': 'bec6560d4f4cb0defb8207a26d20f532.jpg', 'category': 14}]",[],1
79,8af485caf3cce458,"[{'filename': '85c4a57eb61fd37fb0f2f4a52541a0a9.jpg', 'category': 35}, {'filename': '3f1e0bc44ddedd8e9d1c5baccec6de7a.jpg', 'category': 35}]",[],1
80,8b1bb1e16495b762,"[{'filename': 'eda13a36af97a576e0055657a572764f.jpg', 'category': 5}, {'filename': 'e7698501b56cf2cb4134ddd803a87bac.jpg', 'category': 5}]",[],1
81,8b854e3381679f69,"[{'filename': 'ee5caa62df4991bd56e23498f4d40fc5.jpg', 'category': 17}, {'filename': '0d95404c8234e8618b58d904f9319799.jpg', 'category': 17}]",[],1
82,8b8e0e8bf1cb16cc,"[{'filename': 'b37333a660a18dc8bb96ca1aae5088bb.jpg', 'category': 17}, {'filename': 'd86008a7452792ad560efa75c2e372ae.jpg', 'category': 17}]",[],1
83,8baba25f20b5b42d,"[{'filename': '4b566bebd3b29f59b70c0c0f9c5bf9f5.jpg', 'category': 40}, {'filename': 'c2a185c9fcaac3c7bf08f17bb2dd6895.jpg', 'category': 40}]",[],1
84,8bb433232c3abe5a,"[{'filename': '3cadacadb2f592dcf7a83f520f3b661a.jpg', 'category': 39}, {'filename': '06b4e422805712ee68afb322737293a1.jpg', 'category': 39}]",[],1
85,8bb634497b3ee070,"[{'filename': '2fe588800a4343442393539523910299.jpg', 'category': 10}, {'filename': 'b47a284aaf117432ad5722e662f199e6.jpg', 'category': 10}, {'filename': 'a7e0a23cfa6bd5aab09120d41499ec74.jpg', 'category': 10}]",[],1
86,8c0e8756b2c5dfa1,"[{'filename': 'f74bfc1f8404d7f9178fd13d4acd29de.jpg', 'category': 4}, {'filename': '717ecc562e8fd3ee34574c345c462857.jpg', 'category': 4}, {'filename': '8d0a990e60e734bbe19747eb2f3fd0a3.jpg', 'category': 4}, {'filename': '0a937bc89815e9597ffc2fa3446a4094.jpg', 'category': 4}]",[],1
87,8c191befc6660f0b,"[{'filename': '89c226d2adde2a03b7403c942ab5735c.jpg', 'category': 5}, {'filename': '2f5af8fcecada46b74a5243a93441292.jpg', 'category': 5}]",[],1
88,8c3cf141cbb7f490,"[{'filename': '7bf4c2f12431fb41aa92ef61b1d3b774.jpg', 'category': 10}, {'filename': 'c968c9f3b78f7a121c860c2caa37efe6.jpg', 'category': 10}]",[],1
89,8c5f485fb2a50af1,"[{'filename': 'c89df4cd46e834dec0e8c8432b09dfbb.jpg', 'category': 12}, {'filename': '0bb5b329c43449b4696d632b1d014f89.jpg', 'category': 12}]",[],1
90,8c81f17fe60e8939,"[{'filename': '3ab641232c94c09f75861efe12d86789.jpg', 'category': 9}, {'filename': '4e0f98a4c2bffdb4e4e25bee4ac1a3c7.jpg', 'category': 9}]",[],1
91,8c90f14d8bb331dd,"[{'filename': 'b422dc1388cabd5c6f7a01103f26b2a2.jpg', 'category': 15}, {'filename': '0bc23d5db7b38b51c45c316840deb1e2.jpg', 'category': 15}]",[],1
92,8cb2b331f07de4c4,"[{'filename': '5bad2fea66ecba9089a8e88306c2f2ae.jpg', 'category': 28}, {'filename': '7da23482755d4edfa79953d5bb26913b.jpg', 'category': 28}, {'filename': '50eff98d8303cdebb04552d1f478d738.jpg', 'category': 28}, {'filename': 'cf7a7b43cc661cbb8449c6dab70356fc.jpg', 'category': 28}, {'filename': 'c7a8c4af072dfbd25e5866f795ebb2af.jpg', 'category': 28}, {'filename': 'ce9736d26434994916261658d2d183cf.jpg', 'category': 28}, {'filename': '1a8746882eb5df20dd7dca7eb63ed27c.jpg', 'category': 28}, {'filename': 'fdb0f058858f51003d01d4ec7ee5b09c.jpg', 'category': 28}, {'filename': '873059aade611eba0f5af3a79ab59b3c.jpg', 'category': 28}, {'filename': '518b0aa0cd87be1585d9d52772399bb9.jpg', 'category': 28}]","['8cb2f331f06de4c4', '8db2b331f06de4c4']",1
94,8cd1f32e9171ee84,"[{'filename': '1384e814fd75db2e9d4916dfa3827989.jpg', 'category': 34}, {'filename': 'c2f69fe6beedb76ff1d97a8e7992735a.jpg', 'category': 34}]",[],1
95,8d1af8bd3a2a5855,"[{'filename': '495da33b691c632bb95742eb900e539e.jpg', 'category': 15}, {'filename': '2bc427ea86034328a8c4ac763af970ea.jpg', 'category': 15}]",[],1
96,8d52eee8c0075bf8,"[{'filename': 'bb16d84eef56b27ac1e1d39540bb39ce.jpg', 'category': 17}, {'filename': '8e2a7733710856b48f71f973df9bb5c7.jpg', 'category': 17}]",[],1
97,8d86031b3ff3e834,"[{'filename': '4e84a5509e5b1df52b19e534e6f299dd.jpg', 'category': 17}, {'filename': 'ffeb638ea95c3f8644d8c247f41217c6.jpg', 'category': 17}, {'filename': '002bacc9e7ea97377c57239abac3d2de.jpg', 'category': 17}]",[],1
99,8df2b3f29224b6e0,"[{'filename': 'cbc7bf78b94d06814c3b03ce83a8a0f1.jpg', 'category': 22}, {'filename': 'd9987b0f8f9d4e4de511e5864449918d.jpg', 'category': 22}]",[],1
100,8e360e4f96c7e0f0,"[{'filename': '7e079aed31a648b77de4e5a6caa43b61.jpg', 'category': 4}, {'filename': 'a24d7ad6090e5674a3e898481463e7e2.jpg', 'category': 4}]",[],1
101,8e4965d4b6da0ae9,"[{'filename': '9224d61388a4df0ac69930b4b3249da5.jpg', 'category': 17}, {'filename': '3a53e077c362901069433a04e35a4af0.jpg', 'category': 17}, {'filename': 'ecac3e517f149abc0b52d2ecf6459c9e.jpg', 'category': 17}]",[],1
102,8e4ce7b2b349d823,"[{'filename': 'cc590161aa162f16b70ed2bfbce07e7c.jpg', 'category': 17}, {'filename': 'b7fa4e3471f63a90fd84c8082dddcfa3.jpg', 'category': 17}]",[],1
103,8e56c0cfdef0116a,"[{'filename': '4723302dffbbcaab08960779118ebd95.jpg', 'category': 23}, {'filename': 'f6f529c38f18d69e6c3c2d25979782e8.jpg', 'category': 23}]",[],1
104,8e80f17f04803f7f,"[{'filename': '4eeb7c2c80e4260b40fa9c5e734eb4df.jpg', 'category': 18}, {'filename': '815299e2ca48708645a2aee84a2b2c62.jpg', 'category': 18}]",[],1
105,8e87f1780e87f8e0,"[{'filename': '32de049a586399d89d7026b39aaa5522.jpg', 'category': 20}, {'filename': '99d74d4790d2f8947186ec1ba60be5e1.jpg', 'category': 20}]",[],1
106,8e91d16ee394cae1,"[{'filename': '2e6145e26c580d88413ebc72bdd2d261.jpg', 'category': 10}, {'filename': '865de82e44d457056721d0460ddbfc23.jpg', 'category': 10}, {'filename': '7e314fe454f3384b4224b1c3d868ec1c.jpg', 'category': 10}, {'filename': 'd87cc066c9fb4de29e9f689331cc5fe0.jpg', 'category': 10}]",['8e95d16ae394cae1'],1
108,8e99047af7c7a50a,"[{'filename': '9613c789a2ae2d8825139e4816b22a40.jpg', 'category': 10}, {'filename': '373b2ccb9764417a3493f747a872ed17.jpg', 'category': 10}]",[],1
109,8e9c780ac3f5aa6a,"[{'filename': '8f763e383e8788be075a3ac0a695e30d.jpg', 'category': 39}, {'filename': '1c8e70e6203545ba97ebe0cb9c16d94c.jpg', 'category': 39}]",[],1
110,8ea4d3d3b00f6cf0,"[{'filename': 'e1aafe6864559a9958b216d1099bc064.jpg', 'category': 23}, {'filename': 'ffacbbc2d1cd3a7ab31c9507f7bdb9bc.jpg', 'category': 23}, {'filename': '7353be5ab4df531895789c89cbec1787.jpg', 'category': 23}]",[],1
111,8ea9f5578a7a4581,"[{'filename': '720055d64e466d994a4a2746850e3fbb.jpg', 'category': 34}, {'filename': '9fc27b5dc42ee41fe867e27753d3ca00.jpg', 'category': 34}]",[],1
112,8ed9ed46b029c23d,"[{'filename': 'c669d32195c00caa0ff86d4e2e0aac8e.jpg', 'category': 17}, {'filename': '0cd275dcc3a695b70638e6ab35798a7c.jpg', 'category': 17}, {'filename': '3282e68d13b5ecd13e26532bc88cb39a.jpg', 'category': 17}, {'filename': 'be308bde4eae595189b5082373a6b3f0.jpg', 'category': 17}]",[],1
113,8eda9c87c3d86664,"[{'filename': 'fbe8542fbc97502435404d682c2149c6.jpg', 'category': 7}, {'filename': '4e2c7f37def3ca362281804e6c0fb77b.jpg', 'category': 7}, {'filename': 'fdc9cd87d233c2f2d82377d47ec8fc74.jpg', 'category': 7}]",[],1
114,8f03d1fdf2b41cc0,"[{'filename': 'f0b9faccc152cf8635b5bf41a175a9a0.jpg', 'category': 23}, {'filename': '46e6e8d8341f5b1b7dbae0ef0067e742.jpg', 'category': 23}]",[],1
115,8f17c1793668d06e,"[{'filename': '88766155a908ee16d4b87cba670aa82d.jpg', 'category': 32}, {'filename': '9e5dbe06d6f5e16ff60742792b60dd49.jpg', 'category': 32}]",[],1
116,8f1f354370157da1,"[{'filename': '15912feb97235a157e57631836618b22.jpg', 'category': 15}, {'filename': '7b31096045253c9e40b267bf6932c66a.jpg', 'category': 15}]",[],1
117,8f2eba45e241f1f0,"[{'filename': 'c5e63c6f5c394ec7d77019b462b7dbd6.jpg', 'category': 4}, {'filename': '0258322840190fe2421eab63342fb80d.jpg', 'category': 4}]",[],1
119,8f4f6e86611561d6,"[{'filename': '8696603e7313c709addda230a3952070.jpg', 'category': 17}, {'filename': '83016ecb2a8e08de25f682362befc720.jpg', 'category': 17}]",[],1
120,8f5ab0256fc914d6,"[{'filename': '8f8462c9737a57185e32dec652fe0eea.jpg', 'category': 14}, {'filename': 'e7870ba469e1c3e33a7b468d13c4b978.jpg', 'category': 14}, {'filename': 'e1a3a11c43452ff3f995f317d57290a2.jpg', 'category': 14}]",[],1
121,8f60d48fc21f133e,"[{'filename': '4aa27e32019483b50cc00f72fe6fedd1.jpg', 'category': 13}, {'filename': '204fac5c428b28a15e44b4e55f919ef8.jpg', 'category': 13}]",[],1
122,8f8ff0702e8f4760,"[{'filename': 'f26439f3fa7d931cc168e02441efb4b2.jpg', 'category': 23}, {'filename': '7c40c9c407e123398ae5c3e82908c5f2.jpg', 'category': 23}, {'filename': '1d566472294a93979f4cf20d3e492b9d.jpg', 'category': 23}, {'filename': '95ac6aa70a3a4e5835556593a774699c.jpg', 'category': 23}]",[],1
123,8f97f060b527d868,"[{'filename': '45c6bdc36acf404fb1f1cd1d23a791dc.jpg', 'category': 39}, {'filename': '71829b6057764aff146a1f9c2f5a835a.jpg', 'category': 39}]",[],1
124,8f9f7203338434f3,"[{'filename': '5e23da0e0df584da7ca661f2b039a6f5.jpg', 'category': 15}, {'filename': 'ba91302849a51dae12b9c0be19e24a14.jpg', 'category': 15}]",[],1
125,8faae847f048f259,"[{'filename': 'caf160e8ed52c61be55e61bc04dc7645.jpg', 'category': 17}, {'filename': '093591ac548867983697c0636abbf5b8.jpg', 'category': 17}]",[],1
126,8faf1706f8f180d1,"[{'filename': '1ba9a89367a618d2f6ff0b9497cb017b.jpg', 'category': 34}, {'filename': 'c63d458b06a5b5735a7ecb77c19fee47.jpg', 'category': 34}]",[],1
127,8faf60e268e970e8,"[{'filename': 'b3c802ada194fa66c3daa50532d71446.jpg', 'category': 4}, {'filename': '6bdf8c8c124ac73b4c635f6fee2ec06f.jpg', 'category': 4}]",[],1
128,8fb0d09ef017f00f,"[{'filename': '11ff39ac4f4e6fadb7bca6dbd9aece4e.jpg', 'category': 23}, {'filename': '7656bc7eaf78b6f06477c8dd3a26dd90.jpg', 'category': 23}, {'filename': '8f3d65ef47a9ef6aa5031399e188466b.jpg', 'category': 23}]",[],1
